Year,Name,Graduates_Male,Graduates_Female,Employed_Male,Employed_Female,Overseas_Employment_Male,Overseas_Employment_Female,Agriculture_Fishery_Male,Agriculture_Fishery_Female,Creative_Activities_Male,Creative_Activities_Female,Entrepreneurship_Male,Entrepreneurship_Female,Freelancer_Male,Freelancer_Female,Uncounted_Male,Uncounted_Female,Others_Male,Others_Female,Employment_Rate,Pre_Employment_Male,Pre_Employment_Female,Campus_Employment_Male,Campus_Employment_Female
2021,성공회대학교,192,249,103,128,0,0,0,0,0,0,1,0,5,16,8,1,75,104,58.6,0,5,2,2
2021,성균관대학교,"2,396","1,865","1,331",860,1,1,0,0,0,0,11,14,78,61,648,609,327,320,78.5,17,7,4,3
2021,성신여자대학교,0,"2,022",0,921,0,3,0,0,0,36,0,20,0,151,0,168,0,723,61,0,25,0,35
2021,세명대학교,883,741,492,428,0,0,0,0,0,0,8,7,35,23,51,35,297,248,64.6,5,15,11,17
2021,세종대학교,"1,557","1,222",793,583,2,2,0,0,0,2,16,13,69,75,275,209,402,338,67.8,38,43,18,15
2021,세한대학교,356,432,169,246,0,0,0,0,0,0,10,5,15,21,37,18,125,142,63.6,13,25,2,4
2021,송원대학교,260,340,152,180,0,0,1,0,0,0,2,5,8,17,21,30,76,108,66.5,37,22,0,3
2021,수원가톨릭대학교,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
2021,수원대학교,"1,012",966,544,477,0,0,0,0,0,0,11,6,49,81,80,59,328,343,63.5,15,20,19,34
2021,숙명여자대학교,0,"2,225",0,"1,152",0,2,0,0,0,10,0,33,0,115,0,263,0,650,66.9,0,37,0,15
2021,순복음총회신학교,13,23,2,7,0,0,0,0,0,0,0,0,0,2,8,7,3,7,52.4,0,3,0,0
2021,순천향대학교,"1,235","1,297",699,697,2,1,0,0,3,1,9,8,37,47,157,155,328,388,67.7,34,23,23,55
2021,숭실대학교,"1,656","1,372",948,700,2,2,0,0,0,0,8,6,61,50,215,228,422,386,68.7,69,117,2,3
2021,신경주대학교,127,113,54,56,0,0,0,0,0,0,3,2,7,2,30,24,33,29,66.7,8,12,0,0
2021,신라대학교,841,"1,113",413,504,6,5,0,0,3,5,8,10,30,29,104,128,277,432,58.8,25,31,16,29
2021,신한대학교,148,169,90,131,1,0,0,0,0,0,3,0,4,3,10,4,40,31,76.6,1,5,1,1
2021,신한대학교 _제2캠퍼스,407,691,223,432,1,0,0,0,0,0,7,9,27,26,29,28,120,196,69.6,18,30,2,11
2021,아신대학교,69,83,0,0,0,0,0,0,0,0,0,0,0,0,69,83,0,0,0,0,0,0,0
2021,아주대학교,"1,317",873,784,498,0,0,0,0,0,0,5,5,37,24,201,119,290,227,72.4,23,54,4,8
